 Mortalidade - Brasil
Óbitos p/Residênc por Município e Faixa Etária
Categoria CID-10: V01   Pedestre traum colis veic a pedal, V02   Pedestre traum colis veic motor 2 3 rodas, V03   Pedestre traum colis automov pickup caminhon, V04   Pedestre traum colis veic transp pesado onib, V05   Pedestre traum colis trem veic ferroviario, V06   Pedestre traum colis outr veic nao-motoriz, V09   Pedestre traum outr acid transp e NE, V10   Ciclista traum colis pedestre animal, V11   Ciclista traum colis outr veic a pedal, V12   Ciclista traum colis veic motor 2 3 rodas, V13   Ciclista traum colis automov pickup caminhon, V14   Ciclis traum colis veic transp pesado onibus, V15   Ciclista traum colis trem veic ferroviario, V16   Ciclista traum colis outr veic nao-motoriz, V17   Ciclista traum colis objeto fixo ou parado, V18   Ciclista traum acid transp s/colis, V19   Ciclista traum acid transp e NE, V20   Motociclista traum colis pedestre animal, V21   Motociclista traum colis veic pedal, V22   Motocicl traum colis veic motor 2 3 rodas, V23   Motocicl traum colis automov pickup caminhon, V24   Motocicl traum colis veic transp pesado onib, V25   Motociclista traum colis trem veic ferrov, V26   Motocicl traum colis outr veic nao-motoriz, V27   Motocicl traum colis objeto fixo parado, V28   Motociclista traum acid transp s/colis, V29   Motociclista traum outr acid transp e NE, V30   Ocup tricicl mot traum colis pedestre animal, V31   Ocup tricicl motoriz traum colis veic pedal, V32   Ocup tric mot traum col out veic mot 2 3 rod, V33   Ocup tric mot traum col auto pickup caminhon, V34   Ocup tric mot traum col veic transp pes onib, V35   Ocup tricic mot traum colis trem veic ferrov, V36   Ocup tric mot traum colis outr veic n-motor, V37   Ocup tricic mot traum colis obj fixo parado, V38   Ocup tricic motor traum acid transp s/colis, V39   Ocup tricicl mot traum outr acid transp e NE, V40   Ocup automovel traum colis pedestre animal, V41   Ocup automovel traum colis veic a pedal, V42   Ocup autotraum colis outr veic mot 2 3 rodas, V43   Ocup automov traum col auto pickup caminhon, V44   Ocup autom traum colis veic trans pesad onib, V45   Ocup automovel traum colis trem veic ferrov, V46   Ocup automov traum colis outr veic n-motor, V47   Ocup automovel traum colis obj fixo parado, V48   Ocup automovel traum acid transp s/colis, V49   Ocup automovel traum outr acid transp e NE, V50   Ocup caminhonete traum colis pedestre animal, V51   Ocup caminhonete traum colis veic pedal, V52   Ocup caminhon traum colis veic mot 2 3 rodas, V53   Ocup caminhon traum colis automov caminhon, V54   Ocup caminhon traum col veic transp pes onib, V55   Ocup caminhon traum colis trem veic ferrov, V56   Ocup caminhonete traum colis outr veic n-mot, V57   Ocup caminhonete traum colis obj fixo parado, V58   Ocup caminhonete traum acid transp s/colis, V59   Ocup caminhonete traum outr acid transp NE, V60   Ocup veic transp pesado traum colis ped anim, V61   Ocup veic transp pesado traum col veic pedal, V62   Ocup v transp pes traum col veic mot 2 3 rod, V63   Ocup veic tr pesado traum col auto caminhon, V64   Ocup v tr pes tr col outr veic tr pes onib, V65   Ocup veic tr pes traum col trem veic ferrov, V66   Ocup veic tr pesado traum col out veic n-mot, V67   Ocup veic tr pesado traum col obj fixo parad, V68   Ocup veic tr pesado traum ac transp s/colis, V69   Ocup veic tr pesado traum outr ac transp NE, V70   Ocup onibus traum colis pedestre animal, V71   Ocup onibus traum colis veic a pedal, V72   Ocup onibus traum col out veic mot 2 3 rodas, V73   Ocup onibus traum colis automovel caminhonet, V74   Ocup onibus traum colis veic transp pes onib, V75   Ocup onibus traum colis trem veic ferrov, V76   Ocup onibus traum colis outr veic n-motor, V77   Ocup onibus traum colis objeto fixo parado, V78   Ocup onibus traum acid transp s/colis, V79   Ocup onibus traum outr acid transp e NE, V80   Pess mont anim oc veic anim traum ac transp, V81   Ocup trem veic ferroviario traum acid transp, V82   Ocup de um bonde traum acid transp, V83   Ocup veic esp mot area ind traum ac transp, V84   Ocup veic esp mot uso agric traum acid trans, V85   Ocup veic mot esp constr traum acid transp, V86   Ocup veic outr uso n-via pub traum ac transp, V87   Acid trans tipo espec desconh mod transp vit, V88   Ac n-trans tipo espec desconh mod transp vit, V89   Acid veic mot n-mot tipos de veic NE, V90   Acid embarcacao caus afogamento submersao, V91   Acid embarcacao causando outr tipo de traum, V92   Afog submers rel transp agua s/acid embarc, V93   Acid bord emb s/ac bem n caus afog submers, V94   Outr acid transp p/agua e os NE, V95   Acid de aeronave mot causando traum ao ocup, V96   Acid aeronave s/motor causando traum a ocup, V97   Outr acid espec de transporte aereo, V98   Outr acid transp espec, V99   Acid transp NE
Período:2019
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"412070 Quatiguá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"412080 Quatro Barras";-;-;-;-;1;1;1;-;1;-;-;-;-;4
"412090 Quedas do Iguaçu";-;1;-;-;-;2;2;2;1;1;-;-;-;9
"412100 Querência do Norte";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"412110 Quinta do Sol";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"412120 Quitandinha";-;-;-;-;-;1;-;2;-;1;-;-;-;4
"412125 Ramilândia";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"412130 Rancho Alegre";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"412140 Realeza";-;-;-;-;-;1;4;-;-;1;-;-;-;6
"412150 Rebouças";-;-;-;-;1;-;1;1;2;-;-;-;-;5
"412160 Renascença";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"412170 Reserva";-;-;-;-;1;2;-;1;-;1;-;-;-;5
"412175 Reserva do Iguaçu";-;-;-;-;-;2;-;1;1;-;-;-;-;4
"412180 Ribeirão Claro";-;-;-;-;-;1;-;1;-;2;1;-;-;5
"412190 Ribeirão do Pinhal";-;-;-;-;-;-;-;-;3;-;-;-;-;3
"412200 Rio Azul";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"412215 Rio Bonito do Iguaçu";-;-;1;-;-;1;1;4;-;1;-;-;-;8
"412217 Rio Branco do Ivaí";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"412220 Rio Branco do Sul";-;-;-;-;3;1;-;1;-;1;1;-;-;7
"412230 Rio Negro";-;-;-;-;1;3;4;1;-;-;-;1;-;10
"412240 Rolândia";-;-;-;-;-;-;3;-;1;1;2;1;-;8
"412250 Roncador";-;-;-;-;-;-;-;-;3;3;-;-;-;6
"412260 Rondon";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"412265 Rosário do Ivaí";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"412270 Sabáudia";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"412290 Salto do Itararé";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"412300 Salto do Lontra";-;-;-;-;-;-;2;3;3;-;1;-;-;9
"412310 Santa Amélia";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"412330 Santa Cruz de Monte Castelo";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"412350 Santa Helena";-;-;-;-;-;3;1;1;3;-;-;-;-;8
"412370 Santa Isabel do Ivaí";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"412380 Santa Izabel do Oeste";-;-;1;-;-;4;3;-;1;-;-;-;-;9
"412382 Santa Lúcia";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"412385 Santa Maria do Oeste";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"412390 Santa Mariana";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"412402 Santa Tereza do Oeste";-;-;-;-;2;2;3;1;-;-;-;-;-;8
"412405 Santa Terezinha de Itaipu";-;-;-;-;-;2;-;-;2;2;-;-;-;6
"412410 Santo Antônio da Platina";-;-;-;-;1;6;1;2;3;1;-;-;-;14
"412420 Santo Antônio do Caiuá";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"412430 Santo Antônio do Paraíso";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"412450 Santo Inácio";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"412470 São Jerônimo da Serra";-;-;-;-;1;3;-;-;-;-;-;-;-;4
"412480 São João";-;-;-;-;-;-;1;1;1;1;-;-;-;4
"412490 São João do Caiuá";-;-;-;-;-;2;-;-;1;-;-;-;-;3
"412500 São João do Ivaí";-;-;1;-;-;-;-;-;2;1;1;-;-;5
"412510 São João do Triunfo";-;-;-;-;-;-;1;2;-;-;-;-;-;3
"412520 São Jorge d'Oeste";-;-;-;-;1;-;2;-;2;-;-;-;-;5
"412530 São Jorge do Ivaí";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"412535 São Jorge do Patrocínio";-;-;1;-;-;1;1;-;-;-;-;-;-;3
"412540 São José da Boa Vista";-;-;-;-;-;1;-;1;-;1;-;-;-;3
"412550 São José dos Pinhais";-;-;-;2;3;13;13;6;3;3;1;2;-;46
"412560 São Mateus do Sul";-;-;-;-;1;-;1;5;3;1;-;1;-;12
"412570 São Miguel do Iguaçu";-;-;-;-;1;3;1;2;1;-;-;-;-;8
"412575 São Pedro do Iguaçu";-;-;-;-;-;1;-;1;-;-;1;-;-;3
"412580 São Pedro do Ivaí";-;-;-;-;-;-;2;-;1;-;-;-;-;3
"412590 São Pedro do Paraná";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"412600 São Sebastião da Amoreira";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"412610 São Tomé";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"412620 Sapopema";-;-;-;-;-;1;2;2;1;-;-;-;-;6
"412625 Sarandi";-;1;-;-;4;8;5;5;2;1;2;-;-;28
"412627 Saudade do Iguaçu";-;-;-;-;-;1;1;-;-;1;-;-;-;3
"412630 Sengés";-;-;-;-;-;1;2;-;-;1;-;-;-;4
"412635 Serranópolis do Iguaçu";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"412650 Sertanópolis";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"412660 Siqueira Campos";-;-;-;-;2;3;2;1;2;1;1;-;-;12
"412665 Sulina";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"412667 Tamarana";-;1;-;-;-;-;2;-;1;-;1;-;-;5
"412680 Tapejara";1;-;-;-;-;2;1;1;-;-;1;-;-;6
"412690 Tapira";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"412710 Telêmaco Borba";-;-;-;1;-;3;4;3;6;-;-;-;-;17
"412720 Terra Boa";-;-;-;-;1;1;3;2;1;-;1;-;-;9
"412730 Terra Rica";-;-;-;-;-;1;-;1;2;-;1;1;-;6
"412740 Terra Roxa";-;-;-;-;-;2;1;-;1;-;-;-;-;4
"412750 Tibagi";-;-;-;-;1;1;2;1;-;1;-;1;-;7
"412760 Tijucas do Sul";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"412770 Toledo";-;-;-;-;2;9;7;5;3;7;-;-;-;33
"412780 Tomazina";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"412785 Três Barras do Paraná";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"412790 Tuneiras do Oeste";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"412795 Tupãssi";-;-;-;-;-;2;2;-;-;-;-;-;-;4
"412796 Turvo";-;-;-;-;2;1;1;-;3;1;-;-;-;8
"412800 Ubiratã";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"412810 Umuarama";1;-;1;-;1;10;8;4;8;6;1;-;-;40
"412820 União da Vitória";-;-;-;-;2;3;3;1;2;-;-;1;-;12
"412830 Uniflor";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"412840 Uraí";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"412853 Ventania";-;-;-;-;1;-;-;-;-;1;1;-;-;3
"412855 Vera Cruz do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"412860 Verê";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"412865 Virmond";-;-;-;-;-;1;-;-;1;1;-;-;-;3
"412870 Vitorino";-;-;-;-;-;1;1;-;-;1;1;-;-;4
"412850 Wenceslau Braz";-;-;-;-;-;1;1;1;-;1;-;-;-;4
"412880 Xambrê";-;-;-;1;-;-;-;-;-;1;-;-;-;2
"410000 Município ignorado - PR";-;-;-;-;-;-;2;1;-;-;-;-;10;13
"420010 Abelardo Luz";-;-;-;-;-;-;-;-;1;2;2;-;-;5
"420020 Agrolândia";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"420030 Agronômica";-;-;-;-;-;2;-;-;1;1;-;1;-;5
"420040 Água Doce";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"420055 Águas Frias";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"420060 Águas Mornas";-;-;-;-;-;2;-;1;1;-;-;-;-;4
"420070 Alfredo Wagner";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"420080 Anchieta";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"420090 Angelina";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"420100 Anita Garibaldi";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"420120 Antônio Carlos";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"420125 Apiúna";-;-;-;-;1;3;-;2;-;2;-;-;-;8
"420127 Arabutã";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"420130 Araquari";-;-;-;-;1;6;5;5;1;1;2;-;-;21
"420140 Araranguá";-;-;-;-;-;1;3;-;2;-;1;-;-;7
"420150 Armazém";-;-;-;-;-;1;2;2;-;-;-;-;-;5
"420160 Arroio Trinta";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420170 Ascurra";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"420190 Aurora";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"420205 Balneário Barra do Sul";-;-;-;-;-;1;-;-;2;1;-;-;-;4
"420200 Balneário Camboriú";-;-;-;-;-;1;1;1;4;2;2;1;-;12
"420207 Balneário Gaivota";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421280 Balneário Piçarras";-;-;-;-;1;3;2;1;2;-;-;-;-;9
"422000 Balneário Rincão";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"420210 Barra Velha";-;-;-;-;-;2;2;2;1;3;-;-;1;11
"420213 Bela Vista do Toldo";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"420220 Benedito Novo";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"420230 Biguaçu";-;-;-;-;1;1;5;5;1;2;1;-;-;16
"420240 Blumenau";-;-;1;1;8;19;15;5;6;6;5;3;-;69
"420243 Bocaina do Sul";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"420250 Bom Jardim da Serra";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"420253 Bom Jesus";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420260 Bom Retiro";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"420245 Bombinhas";-;-;-;-;-;-;-;1;-;-;1;1;-;3
"420270 Botuverá";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"420280 Braço do Norte";-;-;-;-;1;1;1;1;2;-;2;-;-;8
"420285 Braço do Trombudo";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"420287 Brunópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420290 Brusque";-;-;1;-;2;10;5;4;1;1;-;-;-;24
"420300 Caçador";-;-;-;-;1;4;3;5;-;2;-;1;-;16
"420310 Caibi";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"420315 Calmon";-;1;-;-;-;1;2;-;-;-;-;-;-;4
"420320 Camboriú";-;-;-;-;-;6;3;4;4;2;1;1;-;21
"420330 Campo Alegre";-;-;-;-;-;-;-;1;-;-;-;1;-;2
"420340 Campo Belo do Sul";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"420350 Campo Erê";-;-;-;-;-;1;2;-;-;-;1;-;-;4
"420360 Campos Novos";-;-;-;-;-;2;2;2;2;4;-;-;-;12
"420370 Canelinha";-;-;-;-;-;1;2;-;-;-;-;-;-;3
"420380 Canoinhas";1;-;-;-;1;3;2;-;1;-;-;-;-;8
"420325 Capão Alto";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420390 Capinzal";-;-;-;-;-;1;-;1;-;1;1;-;-;4
"420395 Capivari de Baixo";-;-;-;-;-;-;2;-;1;2;-;-;-;5
"420400 Catanduvas";1;-;-;-;1;-;-;1;-;-;-;-;-;3
"420410 Caxambu do Sul";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420415 Celso Ramos";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420417 Cerro Negro";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"420420 Chapecó";-;-;-;-;-;11;6;3;2;4;-;3;-;29
"420425 Cocal do Sul";-;-;-;-;-;-;1;1;-;1;-;-;-;3
"420430 Concórdia";-;-;-;1;-;5;6;7;5;1;1;-;-;26
"420435 Cordilheira Alta";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"420440 Coronel Freitas";-;-;-;-;-;-;1;1;-;-;2;-;-;4
"420455 Correia Pinto";-;-;-;-;1;2;-;1;3;1;-;-;-;8
"420450 Corupá";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"420460 Criciúma";-;-;-;-;3;5;7;6;6;-;1;1;-;29
"420470 Cunha Porã";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"420480 Curitibanos";-;-;-;-;-;2;3;1;-;-;2;-;-;8
"420490 Descanso";-;-;-;-;-;-;-;2;1;1;-;-;-;4
"420500 Dionísio Cerqueira";-;-;-;-;-;-;1;-;-;-;2;-;-;3
"420510 Dona Emma";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"420515 Doutor Pedrinho";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420517 Entre Rios";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"420519 Ermo";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420530 Faxinal dos Guedes";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"420535 Flor do Sertão";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420540 Florianópolis";-;-;-;1;1;11;7;6;11;6;1;1;-;45
"420545 Forquilhinha";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"420550 Fraiburgo";-;-;1;-;-;3;3;1;-;2;-;-;-;10
"420560 Galvão";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420570 Garopaba";-;-;-;-;-;1;2;2;1;-;-;-;-;6
"420580 Garuva";-;-;-;-;-;1;2;1;-;1;-;-;-;5
"420590 Gaspar";-;-;-;-;-;7;4;5;1;2;1;-;-;20
"420600 Governador Celso Ramos";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"420620 Gravatal";-;-;-;-;-;2;-;-;1;-;-;-;-;3
"420630 Guabiruba";-;1;-;1;-;-;1;1;-;-;-;-;-;4
"420640 Guaraciaba";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420650 Guaramirim";-;1;1;1;-;-;2;4;4;-;-;-;-;13
"420665 Guatambú";-;-;-;-;-;-;1;2;-;-;1;-;-;4
"420670 Herval d'Oeste";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"420675 Ibiam";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"420680 Ibicaré";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"420690 Ibirama";-;-;1;-;-;1;2;-;1;2;1;-;-;8
"420700 Içara";-;-;-;-;1;1;1;6;-;2;-;-;-;11
"420710 Ilhota";-;-;-;-;-;4;-;-;-;-;-;-;-;4
"420720 Imaruí";-;-;-;-;-;1;-;1;1;1;-;-;-;4
"420730 Imbituba";-;-;-;-;-;1;3;-;3;2;1;-;-;10
"420740 Imbuia";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"420750 Indaial";-;-;-;-;4;5;7;2;2;2;-;-;-;22
"420760 Ipira";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"420765 Iporã do Oeste";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"420768 Ipuaçu";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"420770 Ipumirim";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420775 Iraceminha";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"420780 Irani";-;-;-;-;-;1;2;-;-;-;-;-;-;3
"420790 Irineópolis";-;-;-;-;-;1;-;2;-;-;-;-;-;3
"420800 Itá";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"420810 Itaiópolis";-;-;-;-;-;2;-;-;1;1;-;-;-;4
"420820 Itajaí";-;-;-;-;1;8;10;12;5;3;3;3;-;45
"420830 Itapema";-;-;-;-;-;6;1;3;1;3;-;-;-;14
"420840 Itapiranga";-;-;-;-;-;1;-;3;-;-;-;-;-;4
"420845 Itapoá";-;-;-;-;2;2;1;-;-;-;-;-;-;5
"420850 Ituporanga";-;-;2;-;3;1;3;2;4;-;-;-;-;15
"420880 Jaguaruna";-;-;-;-;-;1;-;-;2;-;-;-;-;3
"420890 Jaraguá do Sul";-;-;-;-;-;6;3;5;2;4;1;2;-;23
"420895 Jardinópolis";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"420900 Joaçaba";-;-;-;-;-;1;1;-;-;1;-;-;-;3
"420910 Joinville";-;-;1;3;1;12;11;4;13;8;7;2;-;62
"420920 Lacerdópolis";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"420930 Lages";-;-;-;1;6;10;8;2;8;7;1;-;-;43
"420940 Laguna";-;-;1;-;-;3;2;3;1;2;1;-;-;13
"420945 Lajeado Grande";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420950 Laurentino";-;-;-;-;-;1;1;-;1;-;-;-;-;3
"420960 Lauro Muller";-;-;-;-;-;2;-;-;2;-;1;-;-;5
"420970 Lebon Régis";-;-;-;-;1;-;-;3;1;-;-;-;-;5
"420980 Leoberto Leal";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421000 Luiz Alves";-;-;-;-;-;-;-;-;1;1;1;-;-;3
"421003 Luzerna";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421010 Mafra";-;-;-;-;1;3;1;1;-;3;2;1;-;12
"421040 Maracajá";-;-;-;-;-;1;2;1;-;-;-;-;-;4
"421050 Maravilha";-;-;-;1;-;3;1;1;1;2;-;-;-;9
"421055 Marema";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"421060 Massaranduba";-;-;-;-;2;1;-;-;-;1;1;-;-;5
"421080 Meleiro";-;-;-;-;-;-;1;-;1;1;-;-;-;3
"421090 Modelo";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"421100 Mondaí";-;-;-;-;-;1;-;2;-;1;-;-;-;4
"421105 Monte Carlo";-;-;-;-;1;2;-;1;-;-;-;-;-;4
"421110 Monte Castelo";-;-;-;-;-;-;1;-;-;1;-;1;-;3
"421120 Morro da Fumaça";-;-;-;-;-;1;1;2;2;-;-;1;-;7
"421130 Navegantes";-;-;-;-;-;5;3;6;5;2;-;1;-;22
"421145 Nova Itaberaba";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421150 Nova Trento";-;-;-;-;1;-;1;-;1;-;-;-;1;4
"421160 Nova Veneza";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421170 Orleans";-;-;-;-;-;-;1;1;1;1;-;-;-;4
"421175 Otacílio Costa";-;-;-;1;-;2;2;1;1;-;-;-;-;7
"421180 Ouro";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"421187 Paial";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421190 Palhoça";-;-;-;1;2;4;9;8;5;5;-;1;-;35
"421200 Palma Sola";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421205 Palmeira";-;-;-;-;-;-;2;1;-;-;-;-;-;3
"421210 Palmitos";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421220 Papanduva";-;-;-;-;-;-;2;-;-;1;-;-;-;3
"421225 Passo de Torres";-;-;-;-;-;1;-;2;-;-;-;-;-;3
"421227 Passos Maia";-;-;-;-;1;2;-;-;-;-;-;-;-;3
"421230 Paulo Lopes";-;-;-;-;-;-;1;1;1;-;-;-;-;3
"421250 Penha";-;-;-;-;1;1;-;1;-;-;-;-;-;3
"421265 Pescaria Brava";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"421270 Petrolândia";-;-;-;-;-;2;-;-;-;1;-;-;-;3
"421290 Pinhalzinho";2;-;-;-;-;3;-;1;-;-;-;-;-;6
"421300 Pinheiro Preto";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"421310 Piratuba";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421320 Pomerode";-;-;-;-;-;1;2;1;1;-;-;-;-;5
"421330 Ponte Alta";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"421340 Ponte Serrada";-;-;-;-;-;3;2;1;3;2;-;-;-;11
"421350 Porto Belo";-;-;-;-;1;1;1;1;1;-;-;1;-;6
"421360 Porto União";-;-;-;-;-;1;-;-;2;-;-;-;-;3
"421370 Pouso Redondo";-;-;-;-;-;5;1;5;-;-;-;-;-;11
"421380 Praia Grande";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421400 Presidente Getúlio";-;-;-;1;-;-;-;1;2;-;-;-;-;4
"421420 Quilombo";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421430 Rancho Queimado";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421440 Rio das Antas";-;-;-;-;-;-;1;1;1;-;-;-;-;3
"421450 Rio do Campo";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"421460 Rio do Oeste";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"421480 Rio do Sul";-;1;-;-;1;3;4;4;5;3;1;-;-;22
"421470 Rio dos Cedros";-;-;-;-;-;2;-;1;1;-;-;-;-;4
"421500 Rio Negrinho";-;-;-;-;1;2;-;1;1;2;1;-;-;8
"421510 Rodeio";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"421520 Romelândia";-;-;-;-;-;-;2;1;-;-;-;-;-;3
"421545 Sangão";-;-;-;-;-;1;-;1;-;1;1;-;-;4
"421550 Santa Cecília";-;-;-;-;1;2;4;1;3;2;-;-;-;13
"421555 Santa Helena";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"421560 Santa Rosa de Lima";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421567 Santa Terezinha";-;-;-;1;1;-;-;1;-;-;-;-;-;3
"421569 Santiago do Sul";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421570 Santo Amaro da Imperatriz";-;-;-;-;-;2;-;-;3;-;-;1;-;6
"421580 São Bento do Sul";-;-;-;-;-;5;3;4;2;1;-;-;-;15
"421600 São Carlos";-;-;-;-;-;-;1;1;1;-;-;-;-;3
"421610 São Domingos";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"421620 São Francisco do Sul";-;-;-;-;-;1;2;1;2;3;1;-;-;10
"421630 São João Batista";-;-;-;-;4;2;1;2;2;-;-;-;-;11
"421635 São João do Itaperiú";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"421625 São João do Oeste";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"421640 São João do Sul";-;-;-;-;-;-;1;1;1;-;-;-;-;3
"421650 São Joaquim";-;-;-;1;-;1;-;1;-;-;1;-;-;4
"421660 São José";-;-;-;-;1;10;5;6;4;4;2;-;-;32
"421670 São José do Cedro";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"421680 São José do Cerrito";-;-;-;-;2;-;-;-;-;1;1;-;-;4
"421690 São Lourenço do Oeste";-;-;-;-;-;-;1;2;-;-;-;-;-;3
